line	text	word_order	CODA
35187	اتفضلى	1	اتفضلي
31383	ها	1	ها
31383	بقي	2	بقى
31383	يا	3	يا
31383	ست	4	ست
31383	البنات	5	البنات
31383	ورينا	6	ورينا
31383	ضحكتك	7	ضحكتك
31383	القمر	8	القمر
1776	اصلك	1	اصلك
1776	مش	2	مش
1776	مبطله	3	مبطلة
1776	عياط	4	عياط
1776	لو	5	لو
1776	خاطفك	6	خاطفك
1776	قولي	7	قولي
22335	واحده	1	واحدة
22335	مين	2	مين
6306	حاضر	1	حاضر
6306	يا	2	يا
6306	فندم	3	فندم
42379	بس	1	بس
42379	أيه	2	ايه
21189	بلاش	1	بلاش
21189	تعمل	2	تعمل
21189	إكدة	3	اكده
21189	تاني	4	تاني
21189	يا	5	يا
21189	قاسم	6	قاسم
21189	أني	7	أني
21189	منجصاش	8	ما 
21189	NULL	9	ناقصاش
21189	مشاكل	10	مشاكل
21189	ويا	11	ويا
21189	مرت	12	مرة
21189	عمي	13	عمي
21189	الله	14	الله
21189	يرضي	15	يرضى
21189	عليك	16	عليك
42711	اهدي	1	اهدي
42711	يا	2	يا
42711	هاجر	3	هاجر
42711	مينفعش	4	ما 
42711	NULL	5	ينفعش
42711	كدا	6	كدا
42711	عشان	7	عشان
42711	متتعبش	8	ما
42711	NULL	9	تتعبش
19456	مكنتش	1	ما 
19456	NULL	2	كنتش
19456	اشغل	3	اشغل
19456	باللي	4	بالي
19456	بيك	5	بيك
19456	انت	6	انت
19456	هشغل	7	هاشغل
19456	دماغي	8	دماغي
19456	بي	9	NULL
19456	مين	10	بمين
13678	ربنا	1	ربنا
13678	يوفقك	2	يوفقك
13678	يا	3	يا
13678	بنتى	4	بنتي
13678	يارب	5	يا رب
13678	وقبلتها	6	وقبلتها
13678	في	7	في
13678	جبينها	8	جبينها
13678	وخرجت	9	وخرجت
17434	عارف	1	عارف
17434	يا	2	يا
17434	نادر	3	نادر
17434	يا	4	يا
17434	بن	5	ابن
17434	نعمة	6	نعمة
17434	لو	7	لو
17434	قربت	8	قربت
17434	مني	9	مني
17434	هعمل	10	هاعمل
17434	إيه	11	إيه
9417	كله	1	كله
9417	بالهداوه	2	بالهداوة
9417	يا	3	يا
9417	ولدى	4	ولدي
9417	أنا	5	انا
9417	كنت	6	كنت
9417	مستنيه	7	مستنية
9417	رباح	8	رباح
9417	يكلمنى	9	يكلمني
9417	بنفسه	10	بنفسه
9417	وأها	11	وأها
9417	مخيبش	12	ما
9417	NULL	13	خيبش
9417	أملى	14	أملي
34090	الكلام	1	الكلام
34090	ده	2	ده
34090	كان	3	كان
34090	ممكن	4	ممكن
34090	اتقبله	5	اتقبله
34090	منك	6	منك
34090	لو	7	لو
34090	كان	8	كان
34090	جوازنا	9	جوازنا
34090	حقيقي	10	حقيقي
34090	وجائز	11	وجائز
34090	شرع	12	شرع
34090	وأظن	13	وأظن
34090	إن	14	إن
34090	إحنا	15	إحنا
34090	إتكلمنا	16	إتكلمنا
34090	قبل	17	قبل
34090	كده	18	كده
34090	في	19	في
34090	الموضوع	20	الموضوع
34090	ده	21	ده
34090	وشرحت	22	وشرحت
34090	لك	23	لك
34090	الوضع	24	الوضع
15281	هتبلغ	1	هتبلغ
15281	عنى	2	عني
15281	الحكومة	3	الحكومة
15281	يا	4	يا
15281	عاصم	5	عاصم
15281	هتبلغ	6	هتبلغ
15281	عن	7	عن
15281	واد	8	واد
15281	عمك	9	عمك
24322	رزلة	1	رزلة
7734	فااااايقة	1	فايقة
7734	جولت	2	قولت
7734	لك	3	لك
7734	جومي	4	قومي
7734	مع	5	مع
7734	ولدك	6	ولدك
7734	وروحي	7	وروحي
7734	على	8	على
7734	بيتك	9	بيتك
6152	ندى	1	ندى
6152	تعالى	2	تعالي
36139	أنا	1	أنا
36139	أعمل	2	أعمل
36139	الأنا	3	اللي 
36139	NULL	4	أنا
36139	عايزة	5	عايزه
36139	انتى	6	انتي
36139	مراتى	7	مراتي
36139	ومرة	8	ومرة
36139	تانية	9	تانية
36139	متعليش	10	ما 
36139	NULL	11	تعليش
36139	صوتك	12	صوتك
36139	انتى	13	انتي
36139	وبتكلمينى	14	وبتكلميني
36139	فاهمة	15	فاهمة
21921	الفطار	1	الفطار
21921	جاهز	2	جاهز
21921	يا	3	يا
21921	سليم	4	سليم
21921	هتتأخر	5	هتتأخر
21921	علي	6	على
21921	شغلك	7	شغلك
21921	كدة	8	كده
29824	NULL	1	ما
29824	ماعاش	2	عاش
29824	ولا	3	ولا
29824	كان	4	كان
29824	إلى	5	اللي
29824	يجول	6	يقول
29824	أكده	7	اكده
29824	NULL	8	يا
29824	ياحبيبي	9	حبيبي
29824	صدجنى	10	صدقني
29824	هو	11	هو
29824	ده	12	ده
29824	إلى	13	اللي
29824	حوصل	14	حُصل
44969	طب	1	طب
44969	احضرلكوا	2	احضرلكوا
44969	لقمه	3	لقمة
44969	تكلوها	4	تاكلوها
44969	انتو	5	انتوا
44969	على	6	على
44969	لحم	7	لحم
44969	بطنكوا	8	بطنكوا
44969	من	9	من
44969	الصبح	10	الصبح
442	شوفتى	1	شوفتي
442	جدى	2	جدي
442	جلب	3	قلب
442	علينا	4	علينا
442	بسبب	5	بسبب
442	بت	6	بت
442	عمى	7	عمي
29424	طيب	1	طيب
29424	يا	2	يا
29424	حبيبي	3	حبيبي
29424	بعد	4	بعد
29424	شغلك	5	شغلك
29424	ان	6	ان
29424	شاء	7	شاء
29424	الله	8	الله
18310	هحاول	1	هاحاول
14962	انى	1	اني
14962	اعمل	2	اعمل
14962	اى	3	اي
14962	حاة	4	حاجة
14962	ف	5	في
14962	الدنيا	6	الدنيا
14962	عشان	7	عشان
14962	أسعدك	8	أسعدك
14714	كيف	1	كيف
14714	مستعجلين	2	مستعجلين
14714	يعني	3	يعني
14714	يا	4	يا
14714	ولد	5	ولد
14714	ابوي	6	ابوي
14714	العيال	7	العيال
14714	أداهم	8	اداهم
14714	زمن	9	زمن
14714	عاجدين	10	عاقدين
14714	لهم	11	لهم
14714	على	12	على
14714	بعض	13	بعض
14714	وافج	14	وافق
14714	يا	15	يا
14714	راجل	16	راجل
14714	خلينا	17	خلينا
14714	نفرحوا	18	نفرحوا
14714	بيهم	19	بيهم
14714	خير	20	خير
14714	البر	21	البر
14714	عاجله	22	عاجله
34292	دكتور	1	دكتور
34292	نبض	2	نبض
5699	وأنا	1	وأنا
5699	مالي	2	مالي
5699	بالحديت	3	بالحديث
5699	دي	4	دي
5699	يا	5	يا
5699	عمي	6	عمي
5699	الرأي	7	الرأي
5699	رأي	8	رأي
5699	دي	9	دي
5699	والفلوس	10	والفلوس
5699	فلوسه	11	فلوسه
5699	ومن	12	ومن
5699	حجة	13	حقه
5699	يعمل	14	يعمل
5699	بيها	15	بيها
5699	ما	16	ما
5699	NULL	17	بدا
5699	بدالة	18	له
54534	ادهم	1	أدهم
54534	روح	2	روح
54534	اجري	3	اجري
54534	جيب	4	جيب
54534	الحكيمة	5	الحكيمة
54534	الدكتورة	6	الدكتورة
20421	فى	1	في
20421	رحلة	2	رحلة
20421	للأسكندرية	3	للأسكندرية
20421	فى	4	في
20421	الجامعة	5	الجامعة
20421	وانا	6	وانا
20421	عايزة	7	عايزة
20421	اروح	8	اروح
8330	جاهزه	1	جاهزة
8330	جدا	2	جدا
8330	خلاص	3	خلاص
8330	قررت	4	قررت
8330	نشوفها	5	نشوفها
25916	طب	1	طب
25916	نامي	2	نامي
25916	نامي	3	نامي
25916	اني	4	اني
25916	مالياش	5	مالياش
25916	نفس	6	نفس
25916	عاد	7	عاد
25916	هاكل	8	هاكل
25916	غصب	9	غصب
25916	يعني	10	يعني
13343	ولدي	1	ولدي
13343	ارحم	2	ارحم
13343	بوك	3	ابوك
13343	انت	4	انت
13343	اكدي	5	اكده
13343	هتموتني	6	هتموتني
10095	ايوه	1	ايوه
10095	ايوه	2	ايوه
10095	اما	3	اما
10095	جهاز	4	جهاز
10095	ضغط	5	ضغط
10095	لا	6	لا
1576	فاكرة	1	فاكرة
1576	يا	2	يا
1576	سهام	3	سهام
1576	لما	4	لما
1576	جلت	5	قلت
1576	لك	6	لك
1576	إني	7	إني
1576	بدعي	8	بدعي
1576	ربنا	9	ربنا
1576	يبعد	10	يبعد
1576	عن	11	عن
1576	جلبي	12	قلبي
1576	اللي	13	اللي
1576	ميكنش	14	ما 
1576	NULL	15	يكونش
1576	نصيبي	16	نصيبي
1576	ويبعت	17	ويبعت
1576	لي	18	لي
1576	الإشارة	19	الإشارة
28430	اهدي	1	اهدي
28430	بس	2	بس
28430	و	3	NULL
28430	قولي	4	وقول 
28430	NULL	5	لي
28430	حصل	6	حصل
28430	ايه	7	ايه
37571	انت	1	انت
37571	بتقول	2	بتقول
37571	ايه	3	ايه
26901	مش	1	مش
26901	هرد	2	هارد
26901	عليك	3	عليك
26901	مظلومه	4	مظلومة
26901	ولا	5	ولا
26901	مش	6	مش
26901	مظلومه	7	مظلومة
26901	شوق	8	شوق
26901	صفحه	9	صفحة
26901	واتقفلت	10	واتقفلت
26901	ومش	11	ومش
26901	هفتحها	12	هافتحها
26901	تاني	13	تاني
26901	لاي	14	لاي
26901	سبب	15	سبب
26901	وشاهندا	16	وشاهندا
26901	انسانه	17	انسانة
26901	محترمه	18	محترمة
26901	وكويسه	19	وكويسة
26901	وبتحبني	20	وبتحبني
26901	ومستعده	21	ومستعدة
26901	تقف	22	تقف
26901	جنبي	23	جنبي
26901	مهما	24	مهما
26901	تكون	25	تكون
26901	ظروفي	26	ظروفي
26901	ومش	27	ومش
26901	هتخلي	28	هاتخلى
26901	عنها	29	عنها
26901	اتمني	30	اتمنى
26901	كده	31	كده
26901	تكون	32	تكون
26901	الصوره	33	الصورة
26901	وضحت	34	وضحت
26901	مش	35	مش
26901	عايز	36	عايز
26901	اسمع	37	اسمع
26901	اسم	38	اسم
26901	شوق	39	شوق
26901	تاني	40	تاني
26901	لو	41	لو
26901	سمحت	42	سمحت
26901	بعد	43	بعد
26901	اذنك	44	اذنك
3103	يا	1	يا
3103	عيون	2	عيون
3103	هدير	3	هدير
23451	متخافيش	1	ما
23451	NULL	2	تخافيش
23451	مش	3	مش
23451	هفلتك	4	هافلتك
23451	ومش	5	ومش
23451	هتوقعي	6	هتتوقعي
23451	ربنا	7	ربنا
23451	عوضني	8	عوضني
23451	عن	9	عن
23451	قوة	10	قوة
23451	رجلي	11	رجلي
23451	فأيدي	12	في 
23451	NULL	13	ايدي
23889	هات	1	هات
34386	و	1	NULL
34386	الله	2	والله
34386	ده	3	ده
34386	كان	4	كان
34386	قبل	5	قبل
34386	جوازي	6	جوازي
34386	منك	7	منك
50571	اهي	1	اهي
50571	البت	2	البنت
50571	الشغالة	3	الشغالة
50571	معاك	4	معاك
50571	اهي	5	اهي
50571	انا	6	انا
50571	فهمتها	7	فهمتها
50571	علي	8	على
50571	كل	9	كل
50571	حاجة	10	حاجة
26727	والله	1	والله
26727	NULL	2	يا
26727	ياالهام	3	الهام
26727	ماحد	4	ما 
26727	NULL	5	حد
26727	بيحس	6	بيحس
26727	بيا	7	بيا
26727	فالبيت	8	في
26727	NULL	9	البيت
26727	دا	10	دا
26727	غيرك	11	غيرك
32753	بس	1	بس
32753	انا	2	انا
32753	اللى	3	اللي
32753	اعرفه	4	اعرفه
32753	انى	5	أني
32753	ابويا	6	ابويا
32753	اتصل	7	اتصل
32753	بيك	8	بيك
32753	ورد	9	ورد
32753	عليك	10	عليك
32753	بالرفض	11	بالرفض
13201	كله	1	كله
13201	تمام	2	تمام
13201	يا	3	يا
13201	جياد	4	جياد
13201	بيه	5	بيه
13201	النسوان	6	النسوان
13201	جاهزه	7	جاهزة
33704	اسف	1	اسف
33704	يا	2	يا
33704	خوي	3	اخوي
33704	اسف	4	اسف
33704	يا	5	يا
33704	خالد	6	خالد
24702	الأحساس	1	الاحساس
24702	بيطردني	2	بيطاردني
24702	غصب	3	غصب
24702	عني	4	عني
24702	معرفش	5	ما 
24702	NULL	6	اعرفش
24702	ليه	7	ليه
24702	بحس	8	باحس
24702	أن	9	إن
24702	في	10	فيه
24702	حاجة	11	حاجة
24702	هتفرقنا	12	هتفرقنا
24702	عن	13	عن
24702	بعض	14	بعض
24702	وللأبد	15	وللأبد
24702	يا	16	يا
24702	خالد	17	خالد
3357	انتي	1	انتي
3357	في	2	في
3357	بيت	3	بيت
3357	عائلة	4	عائلة
3357	السيوفي	5	السيوفي
3357	عارفة	6	عارفة
3357	يعني	7	يعني
3357	ايه	8	ايه
3357	بيت	9	بيت
3357	عائلة	10	عائلة
3357	السيوفي	11	السيوفي
3357	بعني	12	يعني
3357	و	13	NULL
3357	لا	14	ولا
3357	انتي	15	انتي
3357	و	16	NULL
3357	لا	17	ولا
3357	امك	18	امك
3357	تحلموا	19	تحلموا
3357	بيه	20	بيه
15360	بطل	1	بطل
15360	الرواية	2	الرواية
15360	عنده	3	عنده
15360	27	4	27
15360	سنة	5	سنة
15360	شخص	6	شخص
15360	لا	7	لا
15360	يعرف	8	يعرف
15360	في	9	في
15360	عالمه	10	عالمه
15360	كلمة	11	كلمة
15360	الرحمة	12	الرحمة
15360	اللينة	13	اللينة
15360	و	14	والطيبة
15360	الطيبةبل	15	بلاه
15360	يوجد	16	يوجد
15360	فقط	17	فقط
15360	الدمالقسوة	18	الدم
15360	و	19	والقسوة
15360	NULL	20	الغلظة
15360	الغلظةيعتبر	21	 يعتبر
15360	الضلع	22	الضلع
15360	الثاني	23	الثاني
15360	في	24	في
15360	المافيا	25	المافيا
15360	و	26	NULL
15360	يلقب	27	ويلقب
15360	بالشيطان	28	بالشيطان
10875	خلاص	1	خلاص
10875	بلاه	2	بلاه
10875	حديت	3	حديث
10875	ماسخ	4	ماسخ
10875	ملوش	5	مالهوش
10875	عازة	6	عازة
10875	وركزوا	7	وركزوا
10875	معاى	8	معاي
10875	كلكم	9	كلكم
18480	منك	1	منك
18480	لله	2	لله
18480	يا	3	يا
18480	لواحظ	4	لواحظ
35106	بس	1	بس
35106	يالا	2	يالا
35106	NULL	3	وشوف
35106	وشوفلك	4	 لك
35106	حته	5	حتة
35106	اتلم	6	اتلم
35106	فيها	7	فيها
35106	احسن	8	احسن
35106	اجى	9	آجي
35106	المك	10	ألمك
36860	هيبجى	1	هيبقى
36860	أحلى	2	أحلى
36860	طان	3	طاجن
36860	سمك	4	سمك
36860	بس	5	بس
36860	اتوصي	6	اتوصي
36860	عشان	7	عشان
36860	تتأكدي	8	تتأكدي
36860	أن	9	إن
36860	كلام	10	كلام
36860	أمك	11	أمك
36860	صح	12	صح
36860	وكيف	13	وكيف
36860	ما	14	ما
36860	جالت	15	قالت
36860	لو	16	لو
36860	عليك	17	عليك
36860	عفريت	18	عفريت
36860	بيطلعه	19	بيطلعه
36860	إلا	20	إلا
36860	العشج	21	العشق
36860	لو	22	لو
36860	كان	23	كان
36860	متبت	24	متبت
36860	NULL	25	في
36860	فالجلب	26	القلب
36860	ولا	27	ولا
36860	إيه	28	إيه
36860	يجدر	29	يقدر
36860	ينزعه	30	ينزعه
36860	وأني	31	وأني
36860	عشجي	32	عشقي
36860	لك	33	لك
36860	ما	34	ما
36860	ينزعه	35	ينزعه
36860	إلا	36	إلا
36860	خرو	37	خروج
36860	الروح	38	الروح
36860	يا	39	يا
36860	سماحة	40	سماحة
20414	مالك	1	مالك
20414	يا	2	يا
20414	يوسف	3	يوسف
20414	قلقان	4	قلقان
20414	كدة	5	كدة
20414	لية	6	ليه
20414	مفيهاش	7	ما
20414	NULL	8	فيهاش
20414	حاجة	9	حاجة
20414	متقلقش	10	ما
20414	NULL	11	تقلقش
20414	دة	12	ده
20414	طبيعي	13	طبيعي
9340	بقه	1	بقى
9340	كدا	2	كدا
9340	يا	3	يا
9340	تاليا	4	تاليا
9340	ماشى	5	ماشي
44838	عمتى	1	عمتي
44838	هو	2	هو
44838	مين	3	مين
44838	اللى	4	اللي
44838	راح	5	راح
44838	يوصل	6	يوصل
44838	خالتى	7	خالتي
44838	رضوانه	8	رضوانة
41769	وإنت	1	وإنت
41769	عمه	2	عمه
41769	صباح	3	صباح
41769	جهزي	4	جهزي
41769	حالك	5	حالك
41769	إنت	6	إنتي
41769	وعمتي	7	وعمتي
41769	علية	8	عليّا
41769	عشان	9	عشان
41769	أخلي	10	أخلي
41769	الغفير	11	الغفير
41769	خسان	12	خسان
41769	يوصلكم	13	يوصلكم
3853	حالته	1	حالته
3853	خطيرة	2	خطيرة
3853	ربنا	3	ربنا
3853	يسلمه	4	يسلمه
3853	وينجيه	5	وينجيه
10284	صدجيني	1	صدقيني
10284	ممدوح	2	ممدوح
10284	كويس	3	كويس
10284	وبعدين	4	وبعدين
10284	ان	5	انا
10284	خابره	6	خابرة
10284	انه	7	إنه
10284	كان	8	كان
10284	خاطب	9	خاطب
10284	جبل	10	قبل
10284	سابج	11	سابق
46389	شد	1	شد
46389	حيلك	2	حيلك
46389	يا	3	يا
46389	بطل	4	بطل
46389	كله	5	كله
46389	سنه	6	سنة
46389	وتعدي	7	وتعدي
46389	و	8	NULL
46389	انا	9	وأنا
46389	معاك	10	معاك
46389	لو	11	لو
46389	احتجت	12	احتاجت
46389	حاجه	13	حاجة
46389	اتنهد	14	اتنهد
46389	وكمل	15	وكمل
46389	كل	16	كل
46389	إلى	17	اللي
46389	طالبه	18	طالبه
46389	تعمل	19	تعمل
46389	إلى	20	اللي
46389	عليك	21	عليك
46389	وبعد	22	وبعد
46389	كدا	23	كدا
46389	انا	24	انا
46389	راضي	25	راضي
46389	عن	26	عن
46389	النتيجه	27	النتيجة
46389	وانا	28	وانا
46389	بحبك	29	باحبك
46389	زي	30	زي
46389	ما	31	ما
46389	انتي	32	انتي
46389	يا	33	يا
46389	شهاب	34	شهاب
46389	يا	35	يا
46389	حبيبي	36	حبيبي
46389	مش	37	مش
46389	هحبك	38	هاحبك
46389	اكتر	39	اكتر
46389	لما	40	لما
46389	تبقا	41	تبقى
46389	دكتور	42	دكتور
46389	او	43	او
46389	مهندس	44	مهندس
46389	ولا	45	ولا
46389	وزير	46	وزير
46389	حتا	47	حتى
46389	انا	48	انا
46389	فخور	49	فخور
46389	بيك	50	بيك
46389	زي	51	زي
46389	ما	52	ما
46389	انت	53	انت
