line	text
86	لا، ادهم قفل مع ابوه و آيه بعدت عن رقبته وباسته على خده ولسه هتقوم
87	شكرا
89	انتي ختيني لحم وهترميني عضم.
90	انا لمستك يا ابن الناس
91	امال اي هفضل في حضنك لحد ما المكالمه تخلص وبعد ما خلصت هتسبيني
93	ماما مستنيانا برا
95	ماما دي اكتر ست بتفهم وزمانها سبتلنا الشقه
96	ادهم
97	ايوه يا ست الكل
100	بقولك اي يا ست الكل مش كفايه بقالي يومين مقربتش منها كفايه يعنى البت عماله تحلو
103	مالك
106	متزعليش مني بس انا لما ببقا مضايق مبشفش قدامي ف حاولي ابعدي عني
107	و لما مش انا إلى ههديك مين إلى هيهديك
108	يا جامد انت يا مسيطر
109	ايهاب
110	متزعليش مني ماشي
111	مش زعلانه، بس انت بجد هتخليها تقعد معانا.
112	لا طبعا
113	امال اي
114	هتعرفي في الوقت المناسب
3	انزلو انتو انا هقعد هنا شويه
6	طلعتي ليه.
7	اقعد معاك، ادهم مسك السيجاره بأيده التانيه وفرد دراعه التاني ليها بمعني تعالي، آيه جريت عليه وهو خدها في حضنه وباس راسها
8	مش عايز تدخل ليه
9	مش قادر دلوقتي، وبعدين نفضي لست الكل وجوزها الجو شويه
11	سافل، طاب اي هنام فين، ليه محجزتش فندق
12	ايهاب هيزعل مني
13	طاب اي
15	شكلي هقضيها هنا
16	هنقضيها.
17	لا انتي هتطلعي تنامي فوق
18	لا هفضل معاك ونبي يا ادهم
19	يا حبيبتي ا...
20	بالله
21	ماشي ماشي.
23	اتجوزتها امتا
24	بعد جوازي من نسمه بكام سنه
25	و هو انت لو قلتلي بتحب واحده مكنتش هجوزهالك...
26	بس يعنى بت عمي و.
27	تتجوز اتنين عادي هو انت اول ولا اخر حد يتجوز اتنين
29	هو فين دلوقتي
30	برا تقريبا مش عايز يدخل
31	هو مش هيرجع القاهره تاني، انا فاضل في عمري القليل عايز كل احفادي جنبي
32	ربنا يخليك لينا يا ابوي
33	روح شوف مراتك.
35	طول عمري وانا بحلم باللحظه إلى تبقي فيها جوا بيتي قدام البيت كله
36	هما يومين و مشين
37	لا طبعا هتفضلو
38	والله الكلمه كلمت ادهم
39	نعم اي الكلمه كلمت ادهم دي
40	زي ما سمعت.
43	و جدي عمل اي
44	ولا حاجه بص لابوك وخلاص، امك إلى شكلها مش مرحبا بوجودنا خالص
45	لا بالعكس امي دي ست طيبه والله بس هي بتحب ابويا اوي تلاقيها اتصدمت بس
46	ربنا يقدم إلى فيه الخير
47	مراتك نامت
49	منمتش كويس امبارح
50	مش عاتق يخربيت امك.
51	مش إلى في دماغك الشمال امبارح تعبت علشان كدا مقدرتش تنام بس اصرت تيجي معايا النهارده
52	ماشي يا عم
54	طاب هروحها انا وجيب حور وعبدالرحمن
55	ماشي.
57	خير
59	اخبارك ايه
61	الحمدالله
62	يارب دايما. هترجع امتا من الصعيد علشان نخلص الصفقه
63	نسرين انتي كويسه
65	اختي ماتت يا ادهم، حاسه اني مليش حد في الدنيا، كانت بتكلمني ازي نخطف مراتك و. وماتت انا خايفه من ربنا اوي يا ادهم.
66	اهدي متخافيش اهم حاجه انك عرفتي غلطك وانا معاكي يا نسرين والله اعتبريني اخوكي
67	شكرا يا ادهم، مسحت دموع، تيجي بسلامه
68	سلام.
70	رايح فين
71	نامي انتي وانا هوصل مرات ايهاب عنده واجي بسرعه
73	مطولش، ونامت ادهم قام وغطاها كويس ونزل على المطبخ لما عرف من الخدامه ان حور هناك
74	الله الله اي الريحه دي
75	شويه اكل لايهاب
76	كل دا لايهاب هو قاعد بجوع ولا اي
77	انت بتسمي الشوربة بتاعت المستشفيات دي اكل.
78	طاب اي فين عبدالرحمن ولا مش رايح
79	لا هو قلي انه هيجي ورانا. تمام يلا
81	يا سيدي على الحب
82	هلم الاكل انا
83	امال فين عبدالرحمن
85	انا جيت يا بشر
86	تعاله تعاله، ادهم قعد من نحيه و عبدالرحمن من نحيه ودي كانت اول مره ادهم و عبدالرحمن يقعدو سواء.
87	كليات القمه متجمعة سو اتنين هندسه واحد طب
88	اتنين طب يا باشا
89	ليه مين طب في العيله تاني
90	المدام
92	هو انت هندسه
93	احم ايوه هندسه مدني
94	وانا
95	بس على فكره هندسه كهربا وبرمجا احسن وليهم فرص شغل اكتر.
96	فعلا، بس انا اصلا كنت بدور على حجه علشان اسيب البلد، ادهم و عبدالرحمن اندمجو في الكلام وايهاب بصلهم بحب
97	لا لا على فكرة الميكانيكا اصعب من لاستاتيكا
98	لا لاستاتيكا اصعب
99	انت اي رايك يا ايهاب
100	انا كنت علمي علوم ياجماعه. كلهم ضحكو في صوت واحد وكان شكلهم يفرح القلب
102	انت كويس اندهلك دكتور
103	متخفش هو بس عنده حساسيه على الصدر
104	طاب كاشفلها
105	ايوه وبخدلها علاج كيان كاتبه.
107	كفاره يا ريس
109	غور من هنا ياض
110	الف سلامه يا باشا. حور بتزبط لايهاب المخدات وره
111	اااااه اخيرا الواحد رجع لسريره و حضن مراته
114	احم، انا كدا اطمنت عليك. ولي عمل كدا انا قدرت اجيبه و تحت ايد واحد صحبي هقطعهولك بسناني بس اول موصل
115	توصل فين.
116	القاهره انا هرجع النهارده.
1	اي إلى عتقوله دا
2	عايز اطلق شمس زي ما ابوي وعدني قبل ما امشي
4	الكلام دا حوصل
6	ايوه يا بوي انا وعدت عبدالرحمن يطلاق شمس لما يرجع. عايزني اعملك اي يعنى هو كان رافض وانت مصمم. قالت يمكن لما يرجع يغير راي، بس خلاص يا بوي هو مش عايزها. ليه تجبرهم يتجوزو وحده هما مش عايزينها. وسنه ولا اتنين وهيتجوز إلى هو عايزها من غير ما يقولك حتا
7	دي اصول العيله ولازم الكل يمشي عليها
9	لاما تغصب ابنك يتتجوز بنت عمه إلى مش بيشوفها غير ليلة فرحهم و سنه ولا اتنين تلقيه داخل عليك ب واحده جديده ومعاها عيل فين الاصول
11	انا اسف يا بوي بس لو عبدالرحمن عايز يطلاق شمس انا معاه وهو حر دي حياته، انا مش عايز يحسبن فيا وانا في قبري
13	هتصل بالماذون. وراجع نفسك تاني
15	انا مش هطلاق شمس.
17	عملة إلى في دماغك برضو
18	كان لازم اعمل كدا، كمل وهو بيضحك. وبعدين يا بوي دا هو يادوب كف صغير
19	طاب روح اطلع للي منهاره فوق دي
21	وانت كمان ناوي تطلق ولا اي
22	مش يمكن اختيار ربنا احسن من اختياري.
23	ربنا يصلح حالكم يا ولاد.
25	طاب اي مش كفايه عياط بقا
27	اوعا ملكش صالح بيا مش انت كدا كدا هطلاقني
29	لا مفيش طلاق
31	بجد
33	هو الواحد قادر على جمالك العادي هيقدر على جمالك وانتي كدا.
35	سافل
37	انتي لسه شفتي سفاله.
41	الاكل يا بيه.
43	ه. ايهاب
45	كلي انت متغدتيش
48	ريحتك حلوه اوي يا حور
50	ا. ايهاب
51	اممم
52	انت شكلك سكران
54	عارف، حور صرخة لما ايهاب عضه
55	اااه.
57	انت يا زفت اي اليى عملته مع بنت خالتك دا
59	هي لحقتة تقولك
60	ادهم متجننيش وكلمني عدل
61	معملتش حاجه غلط مراتي عادي
62	ادهم العقد إلى بينك وبين آيه دا علشان الحرمانيه لاكن هي مش مراتك وميصحش إلى انت عملتة دا
63	والله انا لو رحت بالقعد إلى معايا لاي قاضي هيقلي مراتك
64	ادهم ال، الروايه نزلة وتباد.
68	كل دا من بوسه طاب دا انا ليا اكتر من كدا بس سايبك بمزاجي
69	انا مش مراتك وهخلي خالتي تقطع الورقه إلى معاك
70	تؤ احنا نخليه جواز على الورق وعلى السرير علشان تعرفي انك مراتي.
3	إلى انت عملته صح
5	انتي شايفه كدا
6	على الاقل مش هتندم بعدين، وتبقا عملت إلى عليك ولو معجبكش الموضوع هنمشي عادي
8	تعبت يا آيه تعبت اوي مش عارف اعمل اي، كان فين جدي دا إلى عايزني اسمحه عارف انه ملهوش ذنب، يمكن الذنب ذنب الست إلى جبتني وهي عارفه اني هعيش من غير اب او ذنب الاب إلى جابني وهو عارف نفسه جبان ومش هيقدر يعيشني عيشه مرتاحه
10	جرب ادي عمي فرصه، وشوف هيعمل اي عشانك. هو بيحبك والله، وخالتي كل ذنبهت انها حبت بس
11	مش عارف
13	ان شالله خير
16	صباح الخير يا ماما
17	صباح الخير يا حبيب ماما
18	امال فين ادهم
19	لسه مصحيش ولا هو ولا مراته تقريبا
20	تمام هروح اصحيه و جهزولنا الفطار وهتوه على اوضت ايهاب هنفطر معاه
21	حاضر يا حبيبي
22	تسلميلي يا ست الكل.
24	ايوه جاي، ادهم فتح الباب
25	صباح الخير
26	صباح النور
27	معلش بقا لو كنت صحيتك بس يلا علشان نفطر معا ايهاب
28	لا انا مكنتش نايم.
29	تمام هستناك في اوضه ايهاب
30	ماشي، عبدالرحمن مشي وادهم قفل الباب ودخل يصحي آيه، قعد جنبها على السرير بهدوء وبدا يزحلها شعرها
31	آيه، بنوتي. ايه فتحت عنيها و همستله بنوم
32	صباح الخير
34	صباح الفل عليكي
35	صاحي بدري يعنى
36	لا مش بدري هنا ياحبيبتي، يلا بقا قومي جهزيلي الحمام خلينا ننزل
37	حاضر
40	روحي انتي يا حور افطري معاهم تحت واحنا هنساعد ايهاب
41	خلاص ماشي خلصو و اندهو عليا اشيل الاكل، حور نزلت تفطر مع حماتها و شمس و آيه، طلعت نسمه وهي شايله صنيه عليها كوبايات لبن وحتط وحده قدام آيه و تبطبطت على كتفها بحنيه
42	اشربي يا حبيبتي انتي حامل و محتاجه تغزيه
43	شكرا يا خالتي
45	وانتي اشربي دي ايهاب موصيني عليكي
46	لا والله كدا كتير يعنى قلت النهارده مش معايا وهفطر براحتي
47	ولا عاش ولا كان إلى يستغفل ابني وانا موجوده
48	ماشي يا حماتي
50	انتي بقا محدش موصيني عليكي بس هي كوبايه زايده خساره
51	شكرا على التقدير يا مرات عمي البنات ضحكو عليهم
52	بس في كوبايتين لمين يا حماتي
53	انا و ام ادهم.
54	اوعااا اي الضراير الجامده دي
55	هو علشان ضراير ناكل بعض ما في ضراير زي الاخوات، وبعدين طلامه مشفتش منها حاجه وحشه اكرها ليه
56	وهي والله مش بتكرهك وبتعزك وديمان كانت تحكيلي عليكي بكل خير بس هو الحب بقا...
57	طاب سلام بقا عطلتونا عن ام ادهم
60	في حاجه يا ام ايهاب
61	انا عارفه انك مطلعتيش تفطري معانا علشاني، بصي يا حبيبتي مش كل الضراير زي ما الناس مفكره، والله انا شفت ضراير زي الاخوات، واهو إلى حصل حصل بقا مش هستفيد بحاجه لو كرهتك ولا فضلنا ننحل في بعض وانا مشفتش منك حاجه وحشه. وباين عليكي بت ناس. وليه نفرق الاخوات عن بعض ونشيل ذنبهم خلينا نعيش زي الاخوات حسن
63	انا مش عارفه اقولك اي والله
64	متقليش حاجه واشربي اللبن
66	يا لهوي يا ناس هو في كدا
67	تعالو يا قدرنا
69	دي حور مرات ابني الكبير و دي شمس بنت المرحوم اخو جوزي ومرات ابني
70	اللهم اما بارك قمرات، وطبعا انتي عارفه ايه بنت اختي و مرات ابني الوحيد
71	البت دي بتفكرني بواحده بتطلع على التلفزيون.
72	اوعي تقولي كدا قدام ادهم دا بيتجنن لما حد يقول كدا
73	بيغير عليكي يا جمر انتي
74	و محكلكيش عن غيره ادهم ابني. دا لبسها حجاب قدامي علشان بيغير عليها مني، آيه وشها احمر من الخجل
75	باين عليه واعر ولادك دا
76	هكدب، اوي الصراحه.
78	عبدالرحمن انا شايفك بتغش
79	يعم والله ما بغش، وو ايده نزلت لتحت
80	تالت مره
81	لا والله انتو كدا إلى بتغشو
83	بتعملو اي.
84	ادهم غالب ايهاب يجي خمس مرات في الريست لحد دلوقتي
85	متصدقهمش يا بابا دول غشاشين
87	مين إلى بيغش ياد يا
89	تعالالي
90	ااااو لا متستخفش بالحج يا ادهم دا جامد والله
93	يلا يا بابا اوعااا تكسفني. بابا بابا
94	كفايه يا عبدالرحمن مش عارف اركز و...
96	هنشرب ساقع على حساب ادهم النهارده
98	خلي حد من العيال يجيب البيت كله حاجه ساقعه. كمل وهو بيحرك ايده على رقبته بحرج، احم وجيب لآيه ايس كريم علشان هي ما بتحبش الساقع
99	يا سيدي يا سيدي
100	يعم اوعاا دا انت بارد
101	ما براحه يا بيبي دا انا ضعيييف
103	انا عارفه انه غلس بي للاسف اخوانا و منقدرش نغير حاجه
105	بس ياد عبدالرحمن دا اخر العنقود والدلع كله ليه
106	حبيبي يا حج
108	وحشتيني
109	ادهم طلقني.
1	بتخوني
3	بخونك ازي يعنى
5	اممم يعنى انت مش بتفكر في بنت دلوقتي
6	انتي بتقرأي الافكار ولا اي
8	مين دي يا خاين
10	فاكره نسرين إلى خدتك المكتب معاي علشان تحل بعيد عني
11	ايوه فكراها
14	وليه تلغي الصفقه وتدفع مليون ونص
15	انتي بتقولي اي عايزني اشتغل مع وحدها وانا عارف كل نويها الزفت...
16	اممم طب انتي لو لغيت العقد هتلاقي الف طريقه توصلك وتاذيك بيها على الاقل لما تبقا معاك هتبقا تحت عينك
17	انتي إلى بتقولي كدا مش خايفه تاخدني منك
18	انا واثقه فيك وبعدين دا كل يوم هنزل المعرض و هبهدله
19	لا طبعا انا مستحيل ادخل الاشكال دي شركتي.
20	علشان خاطري ونبي يا ادهم الصفقه كبيره وفيها مكسب ليه ترفض
22	ماشي، آيه غمضه عنيها باستسلام من لمساته الخبيره ووو.
24	اي
25	لا وكمان هتنزلي تعمليلي حجر شيشه لاول
26	بس انت بتشرب سجاير بس
27	تؤ مينفعش ترقصيلي من غير حجر الشيشه
29	ايهاب ممكن تغير الشرط دا والنبي اطلب اي حاجه تاني
30	قدامك عشر دقايق بالظبط، بعد شويه
35	بتتفرج على اي
36	الماتش
38	لمين ومين
40	الأهلي والزمالك.
42	بحبك يا شمسي
44	وانا بعشقگ يا عبدالرحمن
46	عبدالرحمن مش هنا
47	اممم
48	عبدالرحمن ا، عبدالرحمن اسكتها بقبله شغوفه
51	صباح الخير
52	صباح الجمال كل دا نوم
53	ما كله بسببك
55	بقولك اي هو انا دافع دم قلبي على ايش احمر واسود وابيض في الدولاب ونتي ما بتلبسيش حاجه منهم
56	هو انت سيبلي فرصه البس حاجه
57	اعملك اي ما انتي إلى صاروخ اوي الصراحه.
59	قوم شوف شغلك يا سافل
61	لسانك الحلو هقطعهولك في يوم من الايام، وميل قبلها برقه على خدها وبعد
65	مالك
66	مفيش
67	آيه.
68	انا. انا يعنى ك. كنت عايزه اقولك. غمضت عنيها وتكلمت بسرعه، ممكن ناجل الخلفه شويه لحد ما اخلص كليتي
70	خلصي فطارك ونامي شويه لحد ما اجي
74	صباح الخير
76	صباح النور يا روحي
77	صاحي بدري يعنى
78	اممم صحيت بدري علشان اجبلك دا، ايهاب خد العلبه إلى كانت جنبه
79	لله دا ليا.
82	كلمة السر اي
83	ايهاب.
86	شكرا
88	و شكرا ليكي
89	على اي انا معملتش حاجه
90	على ليله امبارح
91	يااااها دا انت مبسوط اوي كل دا علشان رقصتلك
93	اممم النهارده رقصتيلي بكره نعمل حاجه اكبر
95	ايهاب بيه ايهاب.
97	ا. ايهاب ج. جدك.
2	اي مالك
3	م. مفيش. ا. انا عايزه خالتي. ادهم بعد وطلع برا. بص لامه إلى قاعده
4	فرحي على بنت اختك بكرا
5	يلهوي لا بكرا قريب اوي خليها حتا بعد اسبوع.
6	انا قلت كلمه
8	يا حبيبي اي بنت بيبقا نفسها تجهز ليوم فرحها وتفرح بيه. وغير كدا انا عارفه انها مش موافقه انا هحول اقنعه
9	موافقه والا مش موافقه هتجوزها.
10	يا ابني علشان خاطري
11	حاضر بس اسبوع واحد قبل ما الاجازه بتاعتها تخلص
12	روح شوف هتعمل اي وانا هتدخل اشوفها
13	طاب اسمعها بس تقول لا او مش موافقه
14	روح يا ادهم ربنا يهديك
16	انا مش عايزه يا خالتي. ونبي يا خالتي قليلي انه بيهزر
17	تعالي تعالي يا حبيبتي. نوسه خدتها وقعدت على السرير وبعدتها عن حضنها ومسحتلها دموعها.
18	ليه العياط دا كله
19	مش عايزه اتجوز ادهم
20	ليه ماله ادهم
21	يعنى انتي مش عارفه يا خالتي
22	ايوه هو بارد وغلس و معندوش ريحت الذوق بس جدع وبيحبك. وقبل متبصيلي كدا ايوه بيحبك وهيتجنن عليكي. انتي عارفه كل إلى عمله دا علشان قلتله انك تعرفي ولاد، راجل ملو هدومه متعلم والحمدالله شغله حلو وبيغير عليكي جربي مش هتندمي
23	ب. بس. ا.
24	بصي يا حبيبتي كل واحده و شطرتها، شيفه ادهم دا تقدري كدا تخليه شخص تاني
26	علشان خاطري يا آيه انا مش هطمن عليكي غير مع ادهم وافقي
30	القهوه يا بيه
31	انتي مين
32	الخدامه الجديده
34	طاب اتفضلي
36	مين دي
38	بتقول الخدامه الجديده
39	ازي تقعد جنبك كدا
40	علمي علمك
41	البت دي متجيش الاوضه تاني ولو عايز حاجه اطلبها مني.
43	صوتك
47	في حاجه يا جدي
48	في فلوس اتاخد من الخزنه ولي عمل كدا حد من اهل البيت
49	ازي يعنى يا جدي اتاكد تاني اكيد في حاجه غلط
51	قلي يا عباس امال المية الف إلى محولين على حساب نوسه بتوع اي، عباس اتوتر و وشه جاب الوان
53	دي هتبقا حريقه يا ماما بس استني.
54	لا لا متخفيش انا ظبط الوصل وخليتها بتريح النهارده ورميته في اوضه جمال.
55	لا ولسه يما هيشوفو كل إلى عملوه معاكي هردو ليهم مرتين.
57	الحلو رايح فين على الصبح
59	ما طريه الناس لبيعضه برضو
61	اركب الهواء. محسش غير وبكيس في وشه
62	هركبهولك يا روح امك
64	غووووري على البيت. آيه اتنفضت وجريت...
66	تعلولي بقا...
68	اسطا اسر اسطا اسر، اسر رفع راسه بعد ما كان بيصلح في العربيه. الباشمهندس ادهم بيتخانق على اول الشارع
69	مع مين ياض
70	معرفش
3	احم بقولك اي يا ايهاب
5	نعم يا بوي
6	يعنى هو في مشوار للقاهره. وكنت عايزك تيجي معاي. فرح ابن واحد صحبي و الواد يتيم ولازم اقف معاه. وكنت عايزك تيجي معاي. يعنى اكمن ملهش حد و معندوش اخوات. اعتبره اخوك
7	تمام
8	قوم جهز حالك لازم نمشي دلوقتي علشان نلحق الحنه.
11	خضيتني
12	اممم انا مسافر القاهره
13	ليه هتعمل اي
14	فرح واحد قريبنا
15	هطول
16	احتمال يومين اول تلاته، باسه على راسها، خدي بالك من نفسك
18	ه، هجهزلك الشنطه علشان متتاخرش.
19	قلتلك مستحيل اخد الفلوس دي ولا عايز منه حاجه
20	بس دي حقك زي ما ولاده لاتنين اتجوزه من فلوسه انت كمان زيك زيهم
21	امي افهمي انا لولا اصرارك لا عايزه في حياتي ولا يدخل بيتنا اصلا
22	بس دا ابوك.
23	لا مش ابوي لو ابوي مكنش رماني الرميه دي وكان بطل خوف من ابوه وقله انه متجوز، انا زنبي اي، معلش يا ادهم يا ابني الحب ملهش سلطان وانا وابوك حبينا بعض. وتجوزنا. عرفين ان انت المظلوم الوحيد في الموضوع بس مش هنطول وهنقول لجدك، ادهم، عادي برضو لو انا مكانهم اكيد كنت هعمل كدا. ادهم لازم تشتغل علشان ابوك مش هيقدر يبعت من المال إلى معاه اصلي ابوه بيرقب كل حاجه. معلش اشتغل يا ادهم دا مهما ان كان ابوك ولو عايز فلوس ابعتله.
24	ادهم. انا، ادهم قطعاها لما سحب ايد آيه إلى كانت واقفه بعيد وخايفه من صوت ادهم العالي
25	بعد اذنك يا ماما هنتاخر
27	ا. انا مش بكره. ا. نا ب. بس هو ليه بيعمل كدا ابنه ميستهلش يضحي شويه علشانه
28	على لاقل هو لسه شريك، مبعكش زي
30	بس خلاص كفايه عياط. هتنكدي عليا ولا اي
32	لا. ادهم باسها على راسها بحب
34	احم احم ادهم بيه
36	اي امال فين باقي البنات
38	هيلبسو وجين. اي بقا ادخل ولا قطعت عليكم
40	لا تعالي، اركبي.
42	كدا برضو لسه بدري على فك الجبس
43	مش بعرف اتحرك فيها اكدا احسن هلف عليه شريط ضاغط وبعدين بقاله اربع ايام
44	ولله
45	بقولك اي متوهيش فين بقا البوس ولاحضان إلى قلتي عليهم بعد مفك الجبس
46	اقسم بالله سافل مفيش غير لما تخف خالص
48	إلى يقول كلمه يبقا قدها.
51	انا خايفه يا ماما إلى بنعمله. لو عرفه هنروح فيها
52	اجمدي بس متخفيش طول ما الزفت ايهاب مش موجود عبدالرحمن دا عيل ومش هيعرف حاجه
53	ي. ماما بس كدا هيموت بجد
54	لا مش هيموت وهيتعب شويه بس، كملت بشر. مش هسيبه يموت بالساهل كدا لما يتزل زي مزلني
55	ماشي يا ماما استني لما ارن عليكي اقولك إلى هيحصل.
56	طيب سلام، سلمي قفلت وهمست بشر
57	ولله ما هسيبك غير لما ازلك. هههههه. يا ترا لسا فكرني فاكر مرات ابنك يااا جمال بيه.
59	بقولك اي متجي زي ما احنا كدا ونطلع على شقتنا
60	انت عايز خالتي
61	يلا يا شيخه يلا قدامي...
1	جعانه
